Tag,Latitude,Longitude,Location,Age
A135,-24.5,30.9,Kruger,Pullus
A136,-28.328,30.3157,Kruger,Pullus
A136,-24.5,30.9,Kruger,Pullus
A136,-24.5,30.9,Kruger,Pullus
A137,-24.01103,30.59221,Kruger,Pullus
A137,-24.2015,30.78937,Kruger,Pullus
A137,-24.07942,30.57107,Kruger,Pullus
A137,-24.08133,30.57285,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-22.41996,31.21369,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A138,-24.5,30.9,Kruger,Pullus
A139,-24.5,30.9,KZN,Pullus
A142,-27.63529,32.1832,KZN,Pullus
A142,-25.14673,31.44538,KZN,Pullus
A142,-27.57592,31.94674,KZN,Pullus
A142,-22.62538,31.17327,KZN,Pullus
A142,-27.62531,32.1837,KZN,Pullus
A143,-27.23972,31.54506,KZN,Pullus
A143,-27.32903,31.89385,KZN,Pullus
A143,-27.32903,31.89385,KZN,Pullus
A144,-27.33078,31.85255,KZN,Pullus
A148,-27.42429,31.89941,KZN,Pullus
A148,-27.70511,32.30907,KZN,Pullus
A148,-27.57513,31.9281,KZN,Pullus
A148,-27.84222,32.26006,KZN,Pullus
A148,-27.81386,32.13566,KZN,Pullus
A149,-25.09979,31.45196,Kruger,Pullus
A149,-24.9491,31.66389,Kruger,Pullus
A151,-24.59784,31.62871,Kruger,Pullus
A152,-24.54849,31.34296,Kruger,Pullus
A152,-25.3911,31.669,Kruger,Pullus
A152,-24.12384,31.0214,Kruger,Pullus
A152,-23.7114,31.5686,Kruger,Pullus
A152,-23.98333,31.2,Kruger,Pullus
A153,-24.5,30.9,Kruger,Pullus
A153,-24.5,30.9,Kruger,Pullus
A154,-24.5,30.9,Kruger,Pullus
A154,-24.5,30.9,Kruger,Pullus
A154,-24.5,30.9,Kruger,Pullus
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
A156,-24.5,30.9,Kruger,Adult
